article_type,author_names,authorinfo,citation,citation_date,correspondence_author,keywords,titles
[],[],[],[],[],[],[],Octopus smarts may come from RNA edits
[],[],[],[],[],[],[],Biofilms call out to each other from a distance 
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Phillip S. Barbeau', '1']","['Phillip S. Barbeau is in the Department of Physics, Duke University, North Carolina 27708-0305, USA.']","['Nature', '\n\t\t\t544,', '38–39', '(06 April 2017)', 'doi:10.1038/544038a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Phillip S. Barbeau'],['Particle physics'],Particle physics: The search for no neutrinos
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['J. E. Campbell', '1', 'J. A. Berry', '2', 'U. Seibt', '3', 'S. J. Smith', '4', 'S. A. Montzka', '5', 'T. Launois', '6', '†', 'S. Belviso', '6', 'L. Bopp', '6', '†', 'M. Laine', '7']","['Sierra Nevada Research Institute, University of California, Merced, California 95343, USA', 'Department of Global Ecology, Carnegie Institution for Science, Stanford, California 94305, USA', 'Department of Atmospheric and Oceanic Sciences, University of California, Los Angeles, California 90095, USA', 'Joint Global Change Research Institute, Pacific Northwest National Laboratory, College Park, Maryland 20740, USA', 'Earth System Research Laboratory, National Oceanic and Atmospheric Administration, Boulder, Colorado 80305, USA', 'Laboratoire des Sciences du Climat et de l’Environnement, IPSL, CNRS/CEA/UVSQ, 91191 Gif sur Yvette, France.', 'Finnish Meteorological Institute, Helsinki 00560, Finland']","['Nature', '\n\t\t\t544,', '84–87', '(06 April 2017)', 'doi:10.1038/nature22030', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t10 January 2012\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t23 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t10 January 2012\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t23 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['J. E. Campbell'],"['Carbon cycle', 'Photosynthesis']",Large historical growth in global terrestrial gross primary production
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Anne-Emanuelle Birn', '1']","[""Anne-Emanuelle Birn is professor of critical development studies and social and behavioural health sciences at the University of Toronto in Canada. Her latest book is Oxford University Press's Textbook of Global Health."", ""Anne-Emanuelle Birn is professor of critical development studies and social and behavioural health sciences at the University of Toronto in Canada. Her latest book is Oxford University Press's Textbook of Global Health.""]","['Nature', '\n\t\t\t544,', '31–32', '(06 April 2017)', 'doi:10.1038/544031a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Anne-Emanuelle Birn', 'Anne-Emanuelle Birn']",[],Philanthropy: The politics of giving
[],[],[],[],[],[],[],Earth’s temperatures could shatter a half-billion-year-old record
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Tilli Tansey', '1']","['Tilli Tansey is professor of the history of modern medical sciences at Queen Mary, University of London.', 'Tilli Tansey is professor of the history of modern medical sciences at Queen Mary, University of London.']","['Nature', '\n\t\t\t544,', '28–29', '(06 April 2017)', 'doi:10.1038/544028a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Tilli Tansey', 'Tilli Tansey']",[],Medical history: A surgeon for all seasons
"['\nNature |\n\t\t\t\t\tCorrespondence\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Hubert Cheung', '1', 'Rebecca W. Y. Wong', '2', 'Duan Biggs', '3']","['University of Queensland, Brisbane, Australia.', 'City University of Hong Kong.', 'Griffith University, Nathan, Queensland, Australia.']","['Nature', '\n\t\t\t544,', '35', '(06 April 2017)', 'doi:10.1038/544035b', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Hubert Cheung'],"['Government', 'Policy']",Ivory ban: Close Hong Kong's ivory-trade window
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Dan Yakir', '1']","['Dan Yakir is in the Department of Earth & Planetary Sciences, Weizmann Institute of Science, Rehovot 76100, Israel.']","['Nature', '\n\t\t\t544,', '39–40', '(06 April 2017)', 'doi:10.1038/544039a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Dan Yakir'],['Biogeochemistry'],Biogeochemistry: Large rise in carbon uptake by land plants
"['\nNature |\n\t\t\t\t\tCorrespondence\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Chika E. Uzoigwe', '1']","['Sheffield, UK.']","['Nature', '\n\t\t\t544,', '35', '(06 April 2017)', 'doi:10.1038/544035d', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Chika E. Uzoigwe'],"['Sociology', 'Funding']",Socio-economics: Reduce inequality to reduce abortion
